subject	A1	A2	B1	B2	C1	C2	DMA1	DMA2	DMB1	DMB2	DPA11	DPA12	DPA21	DPA22	DPB11	DPB12	DQB11	DQB12	DRA1	DRA2	DRB11	DRB12	DRB31	DRB32	E1	E2	F1	F2	HFE1	HFE2	K1	K2	DPB21	DPB22	W1	W2	J1	J2	L1	L2	DOB1	DOB2	DOA1	DOA2	DQA11	DQA12	DRB41	DRB42	H1	H2	DRB51	DRB52	R1	R2	V1	V2	Y1	Y2	G1	G2	T1	T2	U1	U2	S1	S2	DQB21	DQB22	DQA21	DQA22	DRB71	DRB72	N1	N2	P1	P2
SRR7367643	37577.0	37577.0	28204.0	28204.0	71428.0	71428.0	5438.0	5438.0	3937.0	3937.0	13439.0	13439.0			7305.0	7305.0	11.0	11.0	25972.0	25972.0	780.0	780.0	4.0	4.0	62228.0	62228.0	13979.0	13979.0	444.0	444.0	53.0	53.0	5.0	5.0	21.0	21.0	54.0	54.0	23.0	23.0	1643.0	1643.0	462.0	462.0	11.0	11.0	41.0	41.0	74.0	74.0	6.0	6.0			1.0	1.0	82.0	82.0	6.0	6.0							1.0	1.0	1.0	1.0						
SRR7367644	26141.0	26141.0	48556.0	48556.0	94381.0	94381.0	2443.0	2443.0	1456.0	1456.0	7531.0	7531.0			2565.0	2565.0	2.0	2.0	13349.0	13349.0	1393.0	1393.0	9.0	9.0	72970.0	72970.0	16851.0	16851.0	387.0	387.0	14.0	14.0	3.0	3.0	32.0	32.0	68.0	68.0	40.0	40.0	495.0	495.0	176.0	176.0	2.0	2.0			7.0	7.0	4.0	4.0			1.0	1.0			2.0	2.0																
SRR7367645	66340.0	66340.0	39660.0	39660.0	101248.0	101248.0	3817.0	3817.0	2732.0	2732.0	13123.0	13123.0	1.0	1.0	6892.0	6892.0	15.0	15.0	24490.0	24490.0	2985.0	2985.0	5.0	5.0	88795.0	88795.0	16934.0	16934.0	477.0	477.0	3.0	3.0	4.0	4.0	36.0	36.0	54.0	54.0	28.0	28.0	405.0	405.0	90.0	90.0	369.0	369.0			91.0	91.0	1.0	1.0							2.0	2.0			1.0	1.0												
SRR7367646	31277.0	31277.0	32061.0	32061.0	54201.0	54201.0	2413.0	2413.0	1666.0	1666.0	10702.0	10702.0			5418.0	5418.0	2.0	2.0	14948.0	14948.0	1770.0	1770.0	5.0	5.0	62749.0	62749.0	7576.0	7576.0	262.0	262.0	1.0	1.0	9.0	9.0	31.0	31.0	28.0	28.0	10.0	10.0	309.0	309.0	93.0	93.0	3.0	3.0			2.0	2.0	1.0	1.0							3.0	3.0																
SRR7367647	129750.0	129750.0	174252.0	174252.0	169291.0	169291.0	1231.0	1231.0	633.0	633.0	3281.0	3281.0			881.0	881.0	12.0	12.0	5553.0	5553.0	169.0	169.0	1.0	1.0	118699.0	118699.0	17321.0	17321.0	340.0	340.0	18.0	18.0			35.0	35.0	22.0	22.0	2.0	2.0	166.0	166.0	20.0	20.0	6.0	6.0	12.0	12.0	13.0	13.0	12.0	12.0			1.0	1.0			4.0	4.0			1.0	1.0	1.0	1.0										
SRR7367648	59177.0	59177.0	139894.0	139894.0	102042.0	102042.0	3935.0	3935.0	2485.0	2485.0	11918.0	11918.0			1198.0	1198.0	3608.0	3608.0	17411.0	17411.0	1518.0	1518.0	6.0	6.0	58028.0	58028.0	7093.0	7093.0	581.0	581.0	49.0	49.0	6.0	6.0	36.0	36.0	23.0	23.0	5.0	5.0	684.0	684.0	69.0	69.0	2632.0	2632.0	25.0	25.0	10.0	10.0	23.0	23.0							3.0	3.0			2.0	2.0												
SRR7367649	99473.0	99473.0	188427.0	188427.0	175575.0	175575.0	1385.0	1385.0	750.0	750.0	4415.0	4415.0			3638.0	3638.0	3586.0	3586.0	8773.0	8773.0	3407.0	3407.0	47.0	47.0	121101.0	121101.0	22825.0	22825.0	214.0	214.0	62.0	62.0	5.0	5.0	13.0	13.0	32.0	32.0	11.0	11.0	300.0	300.0	93.0	93.0	1327.0	1327.0			60.0	60.0	2703.0	2703.0					87.0	87.0	12.0	12.0			4.0	4.0	1.0	1.0										
SRR7367650	29403.0	29403.0	39229.0	39229.0	78940.0	78940.0	2803.0	2803.0	1651.0	1651.0	8627.0	8627.0			1102.0	1102.0	1.0	1.0	13571.0	13571.0	1942.0	1942.0	4.0	4.0	85442.0	85442.0	14463.0	14463.0	373.0	373.0	10.0	10.0	2.0	2.0	36.0	36.0	41.0	41.0	23.0	23.0	194.0	194.0	74.0	74.0	1.0	1.0			3.0	3.0					2.0	2.0			8.0	8.0																
SRR7367651	47598.0	47598.0	43154.0	43154.0	102451.0	102451.0	3365.0	3365.0	1793.0	1793.0	11111.0	11111.0			7324.0	7324.0	3569.0	3569.0	23442.0	23442.0	7759.0	7759.0	4.0	4.0	99115.0	99115.0	14305.0	14305.0	383.0	383.0	10.0	10.0	5.0	5.0	22.0	22.0	42.0	42.0	24.0	24.0	677.0	677.0	132.0	132.0	1876.0	1876.0			3.0	3.0	6155.0	6155.0			1.0	1.0			11.0	11.0																
SRR7367652	73608.0	73608.0	45864.0	45864.0	84952.0	84952.0	3791.0	3791.0	2321.0	2321.0	18935.0	18935.0			5731.0	5731.0	1829.0	1829.0	21419.0	21419.0	4517.0	4517.0	4.0	4.0	82540.0	82540.0	11374.0	11374.0	418.0	418.0	8.0	8.0	4.0	4.0	19.0	19.0	45.0	45.0	8.0	8.0	486.0	486.0	86.0	86.0	2642.0	2642.0			59.0	59.0	3.0	3.0			1.0	1.0			2.0	2.0			1.0	1.0												
SRR7367653	20298.0	20298.0	25941.0	25941.0	65538.0	65538.0	1698.0	1698.0	1135.0	1135.0	4620.0	4620.0			2508.0	2508.0	2.0	2.0	8173.0	8173.0	893.0	893.0	1.0	1.0	68638.0	68638.0	6326.0	6326.0	319.0	319.0	3.0	3.0			23.0	23.0	17.0	17.0	3.0	3.0	407.0	407.0	33.0	33.0	7.0	7.0			1.0	1.0	4.0	4.0			1.0	1.0			3.0	3.0																
